00-0023459,Aaron,Rodgers,QB,3897,28,11,22,107,0,0,0,0,0,2
00-0024243,Marcedes,Lewis,TE,0,0,0,0,0,0,0,1,2,0,5
00-0026158,Joe,Flacco,QB,1761,12,7,9,26,0,1,0,0,0,9
00-0026300,Josh,Johnson,QB,17,0,0,4,1,0,0,0,0,0,11
00-0026498,Matthew,Stafford,QB,3762,20,8,30,41,0,2,0,0,0,12
00-0027973,Andy,Dalton,QB,989,7,6,11,34,0,0,0,0,0,27
00-0028118,Tyrod,Taylor,QB,119,3,0,3,13,0,1,0,0,0,28
00-0028872,Johnny,Hekker,P,0,0,0,0,0,0,0,0,0,0,35
00-0028899,Rodney,McLeod,FS,0,0,0,0,0,0,0,0,0,0,36
00-0029263,Russell,Wilson,QB,2482,16,5,43,155,2,2,0,0,0,42
00-0029604,Kirk,Cousins,QB,3508,18,16,23,0,0,5,0,0,0,48
00-0029692,Bryan,Anger,P,4,0,0,0,0,0,0,0,0,0,54
00-0029892,Kyle,Juszczyk,FB,0,0,0,5,26,1,1,19,200,2,58
00-0030035,Adam,Thielen,WR,0,0,0,0,0,0,0,48,615,5,61
00-0030061,Zach,Ertz,TE,0,0,0,0,0,0,0,66,654,7,62
00-0030279,Keenan,Allen,WR,0,0,1,0,0,0,0,70,744,7,73
00-0030431,Robert,Woods,WR,0,0,0,0,0,0,0,20,203,0,76
00-0030506,Travis,Kelce,TE,0,0,0,1,1,0,0,97,823,3,79
00-0030564,DeAndre,Hopkins,WR,0,0,0,0,0,0,0,56,610,5,81
00-0030565,Geno,Smith,QB,4320,21,15,53,272,2,4,0,0,0,82
00-0030578,Cordarrelle,Patterson,RB,0,0,0,32,135,0,1,12,80,1,83
00-0031235,Odell,Beckham,WR,0,0,0,0,0,0,0,9,55,0,100
00-0031236,Brandin,Cooks,WR,0,0,0,3,-3,0,0,26,259,3,101
00-0031280,Derek,Carr,QB,2145,15,5,17,71,1,1,0,0,0,107
00-0031299,Jordan,Matthews,TE,0,0,0,0,0,0,0,0,0,0,110
00-0031345,Jimmy,Garoppolo,QB,334,2,1,2,5,0,0,0,0,0,112
00-0031357,C.J.,Goodwin,CB,0,0,0,0,0,0,0,0,0,0,113
00-0031381,Davante,Adams,WR,0,0,0,0,0,0,0,85,1063,8,119
00-0031408,Mike,Evans,WR,0,0,0,0,0,0,0,74,1004,11,122
00-0031428,Allen,Robinson,WR,0,0,0,0,0,0,0,3,30,0,125
00-0031484,Chris,Manhertz,TE,0,0,0,0,0,0,0,3,30,1,126
00-0031503,Jameis,Winston,QB,2121,13,12,25,83,1,0,0,0,0,129
00-0031544,Amari,Cooper,WR,0,0,0,0,0,0,0,44,547,4,131
00-0031549,Nelson,Agholor,WR,0,0,0,0,0,0,0,14,231,2,133
00-0031585,MyCole,Pruitt,TE,0,0,0,0,0,0,0,6,40,1,145
00-0031588,Stefon,Diggs,WR,13,0,0,3,8,1,0,47,496,3,147
00-0031595,Michael,Burton,FB,0,0,0,7,8,1,0,10,65,1,148
00-0031687,Raheem,Mostert,RB,0,0,0,85,278,2,2,19,161,0,152
00-0031690,Eric,Tomlinson,TE,0,0,0,0,0,0,0,2,9,0,153
00-0031763,DeAndre,Carter,WR,0,0,0,0,0,0,0,9,72,0,156
00-0031800,Taylor,Heinicke,QB,28,0,0,2,20,0,0,0,0,0,159
00-0031941,Jamison,Crowder,WR,0,0,0,0,0,0,0,9,72,2,170
00-0032104,Ameer,Abdullah,RB,0,0,0,66,311,2,1,40,261,3,177
00-0032128,Chris,Conley,WR,0,0,0,0,0,0,0,6,76,0,181
00-0032141,Geoff,Swaim,TE,0,0,0,0,0,0,0,1,7,0,184
00-0032211,Tyler,Lockett,WR,0,0,0,0,0,0,0,49,600,2,196
00-0032268,Marcus,Mariota,QB,364,4,0,18,92,1,1,0,0,0,204
00-0032381,Taylor,Decker,T,0,0,0,0,0,0,0,0,0,0,210
00-0032385,Sterling,Shepard,WR,0,0,0,8,69,0,0,32,334,1,213
00-0032392,Austin,Hooper,TE,0,0,0,0,0,0,0,45,476,3,217
00-0032394,Nick,Vannett,TE,0,0,0,0,0,0,0,17,135,3,218
00-0032399,Miles,Killebrew,SS,0,0,0,0,0,0,0,0,0,0,221
00-0032434,Brandon,Allen,QB,199,1,2,3,4,0,0,0,0,0,228
00-0032464,Kalif,Raymond,WR,0,0,0,2,0,0,0,17,215,2,234
00-0032688,Robbie,Chosen,WR,0,0,0,0,0,0,0,1,5,0,245
00-0032764,Derrick,Henry,RB,0,0,0,325,1921,16,3,19,193,2,252
00-0032775,Demarcus,Robinson,WR,0,0,0,0,0,0,0,31,505,7,255
00-0032918,C.J.,Ham,FB,0,0,0,2,10,1,0,5,35,0,263
00-0032943,Riley,Dixon,P,3,0,0,0,0,0,0,0,0,0,267
00-0032950,Carson,Wentz,QB,118,0,0,3,0,0,0,0,0,0,268
00-0033009,Tyler,Boyd,WR,0,0,0,1,3,0,0,39,390,0,274
00-0033040,Tyreek,Hill,WR,0,0,0,8,53,0,0,81,959,6,278
00-0033045,Ezekiel,Elliott,RB,0,0,0,74,226,3,1,12,69,0,279
00-0033077,Dak,Prescott,QB,1978,11,8,13,54,1,0,0,0,0,291
00-0033090,Hunter,Henry,TE,0,0,0,0,0,0,0,66,674,2,294
00-0033106,Jared,Goff,QB,4629,37,12,35,56,0,0,1,7,1,298
00-0033110,Tyler,Higbee,TE,0,0,0,0,0,0,0,8,66,2,300
00-0033119,Jacoby,Brissett,QB,826,2,1,15,62,0,1,0,0,0,301
00-0033217,Mo,Alie-Cox,TE,0,0,0,0,0,0,0,12,147,1,309
00-0033246,Johnny,Mundt,TE,0,0,0,0,0,0,0,19,142,2,311
00-0033280,Christian,McCaffrey,RB,0,0,0,50,202,0,0,15,146,0,316
00-0033282,Curtis,Samuel,WR,0,0,0,5,14,0,0,31,253,1,318
00-0033288,George,Kittle,TE,0,0,0,0,0,0,0,78,1106,8,321
00-0033292,Trent,Taylor,WR,0,0,0,0,0,0,0,1,11,0,323
00-0033293,Aaron,Jones,RB,0,0,0,255,1138,5,3,51,408,2,324
00-0033307,Kendrick,Bourne,WR,0,0,0,1,6,0,0,28,305,1,330
00-0033319,Nick,Mullens,QB,38,0,0,3,-2,0,0,0,0,0,332
00-0033357,Taysom,Hill,TE,21,0,1,39,278,6,0,23,187,0,336
00-0033375,Tim,Patrick,WR,0,0,0,0,0,0,0,33,394,3,337
00-0033376,Patrick,Ricard,FB,0,0,0,0,0,0,0,3,22,1,338
00-0033439,Pharaoh,Brown,TE,0,0,0,0,0,0,0,8,65,0,343
00-0033460,John,Ross,WR,0,0,0,0,0,0,0,1,6,0,346
00-0033526,Samaje,Perine,RB,0,0,0,20,92,1,0,28,322,1,356
00-0033536,Mike,Williams,WR,0,0,0,0,0,0,0,21,298,1,357
00-0033537,Deshaun,Watson,QB,1148,5,3,31,148,1,2,0,0,0,358
00-0033553,James,Conner,RB,0,0,0,236,1094,8,2,47,414,1,366
00-0033555,Mack,Hollins,WR,0,0,0,0,0,0,0,31,378,5,367
00-0033557,Jalen,Reeves-Maybin,OLB,0,0,0,1,1,0,0,0,0,0,369
00-0033576,Eric,Saubert,TE,0,0,0,0,0,0,0,11,97,1,376
00-0033589,David,Moore,WR,0,0,0,1,0,0,0,32,351,3,379
00-0033591,Noah,Brown,WR,0,0,0,0,0,0,0,35,453,1,380
00-0033662,Cooper,Rush,QB,1844,12,5,26,18,0,7,0,0,0,383
00-0033699,Austin,Ekeler,RB,0,0,0,77,367,4,1,35,366,0,386
00-0033854,Dare,Ogunbowale,RB,0,0,0,30,112,0,0,19,198,1,401
00-0033857,JuJu,Smith-Schuster,WR,0,0,0,0,0,0,0,18,231,2,402
00-0033858,Jonnu,Smith,TE,0,0,0,2,-1,0,0,88,884,8,403
00-0033863,Dan,Skipper,T,0,0,0,0,0,0,0,1,9,1,406
00-0033869,Mitchell,Trubisky,QB,179,2,0,17,1,0,1,0,0,0,408
00-0033873,Patrick,Mahomes,QB,3928,26,11,58,307,2,1,1,2,0,411
00-0033881,Evan,Engram,TE,0,0,0,0,0,0,0,47,365,1,418
00-0033885,David,Njoku,TE,0,0,0,0,0,0,0,64,505,5,421
00-0033891,Zay,Jones,WR,0,0,0,0,0,0,0,8,84,0,426
00-0033893,Dalvin,Cook,RB,0,0,0,8,20,0,0,1,10,0,428
00-0033895,Gerald,Everett,TE,0,0,0,0,0,0,0,8,36,0,430
00-0033897,Joe,Mixon,RB,0,0,0,245,1016,11,0,36,309,1,431
00-0033906,Alvin,Kamara,RB,0,0,0,228,950,6,0,68,543,2,436
00-0033908,Cooper,Kupp,WR,0,0,0,2,10,0,0,67,710,6,438
00-0033921,Chris,Godwin,WR,0,0,0,1,2,0,0,50,576,5,444
00-0033923,Kareem,Hunt,RB,0,0,0,200,728,7,0,23,176,0,445
00-0033925,D'Onta,Foreman,RB,0,0,0,71,232,0,2,6,54,0,446
00-0033943,Josh,Reynolds,WR,0,0,0,0,0,0,0,13,194,1,455
00-0033948,Jamaal,Williams,RB,0,0,0,48,164,1,0,9,57,0,459
00-0033949,Joshua,Dobbs,QB,361,2,2,9,24,2,1,0,0,0,460
00-0033955,Jeremy,McNichols,RB,0,0,0,55,261,4,0,9,27,0,462
00-0034054,River,Cracraft,WR,0,0,0,0,0,0,0,7,66,0,468
00-0034073,Ross,Dwelley,TE,0,0,0,0,0,0,0,1,5,0,470
00-0034115,Jeffery,Wilson,RB,0,0,0,16,57,0,0,3,19,0,477
00-0034159,Will,Dissly,TE,0,0,0,0,0,0,0,50,481,2,482
00-0034162,J.K.,Scott,P,3,0,0,1,0,0,0,0,0,0,485
00-0034177,Tim,Boyle,QB,276,1,1,3,9,0,0,0,0,0,488
00-0034184,Gus,Edwards,RB,0,0,0,101,365,4,0,3,6,0,489
00-0034208,Mike,Boone,RB,0,0,0,13,51,0,0,1,-2,0,493
00-0034270,Tyler,Conklin,TE,0,0,0,1,0,0,0,51,449,4,502
00-0034272,Marquez,Valdes-Scantling,WR,0,0,0,1,4,0,0,19,411,4,503
00-0034348,Courtland,Sutton,WR,30,1,0,0,0,0,0,81,1081,8,525
00-0034351,Dallas,Goedert,TE,0,0,0,0,0,0,0,42,496,2,527
00-0034353,Anthony,Miller,WR,0,0,0,0,0,0,0,1,16,0,529
00-0034364,Jordan,Akins,TE,0,0,0,0,0,0,0,40,390,2,537
00-0034365,Ian,Thomas,TE,0,0,0,0,0,0,0,3,7,0,538
00-0034383,Dalton,Schultz,TE,0,0,0,0,0,0,0,53,532,2,550
00-0034386,Justin,Watson,WR,0,0,0,0,0,0,0,22,289,2,553
00-0034401,Mike,White,QB,28,0,0,0,0,0,0,0,0,0,561
00-0034407,Ray-Ray,McCloud,WR,0,0,0,10,79,0,0,62,686,1,563
00-0034418,Cedrick,Wilson,WR,21,1,0,0,0,0,0,20,211,1,568
00-0034419,Braxton,Berrios,WR,0,0,0,0,0,0,0,0,0,0,569
00-0034485,Jonathan,Owens,SS,0,0,0,0,0,0,0,0,0,0,587
00-0034487,Trent,Sherfield,WR,0,0,0,0,0,0,0,8,83,1,588
00-0034488,Tavierre,Thomas,CB,0,0,0,1,-2,0,0,0,0,0,589
00-0034521,Allen,Lazard,WR,0,0,0,0,0,0,0,37,530,6,597
00-0034571,Trenton,Scott,T,0,0,0,0,0,0,0,1,1,1,601
00-0034577,Kyle,Allen,QB,19,0,0,0,0,0,0,0,0,0,604
00-0034613,Tanner,Hudson,TE,0,0,0,1,1,0,0,19,154,1,607
00-0034646,Brandon,Powell,WR,0,0,0,0,0,0,0,7,71,0,611
00-0034753,Mark,Andrews,TE,0,0,0,4,5,0,0,55,673,11,633
00-0034771,Mason,Rudolph,QB,1530,9,9,25,106,1,3,0,0,0,642
00-0034775,Christian,Kirk,WR,0,0,0,0,0,0,0,27,379,1,645
00-0034777,D.J.,Chark,WR,0,0,0,0,0,0,0,4,31,1,646
00-0034791,Nick,Chubb,RB,0,0,0,102,332,3,1,5,31,1,654
00-0034796,Lamar,Jackson,QB,4172,41,4,139,915,4,6,0,0,0,657
